               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.066024,            0.038134,            0.028213,             0.71904,               0.375,              0.2939,             0.10894,             0.06352,            0.020021,            0.027446,            0.030456,           0.0064564,           0.0064564
                  77,            0.066356,            0.038877,            0.030887,             0.76394,             0.41846,             0.40606,             0.16172,            0.064615,             0.02036,            0.026929,            0.029526,           0.0065261,           0.0065261
                  78,            0.066658,            0.035335,            0.029823,             0.76394,             0.41846,             0.40606,             0.16172,            0.064615,             0.02036,            0.026929,            0.028595,           0.0065954,           0.0065954
                  79,            0.073082,            0.024948,            0.033205,             0.76394,             0.41846,             0.40606,             0.16172,            0.064615,             0.02036,            0.026929,            0.027664,           0.0066643,           0.0066643
                  80,            0.069202,            0.031826,            0.029872,             0.57194,             0.40828,             0.11477,             0.05744,            0.074742,            0.021478,            0.026442,            0.026733,           0.0067328,           0.0067328
                  81,             0.07024,            0.024333,            0.029746,             0.57194,             0.40828,             0.11477,             0.05744,            0.074742,            0.021478,            0.026442,            0.025801,           0.0068009,           0.0068009
                  82,             0.07727,            0.029758,            0.029497,             0.57194,             0.40828,             0.11477,             0.05744,            0.074742,            0.021478,            0.026442,            0.024869,           0.0068686,           0.0068686
                  83,            0.072381,             0.03164,            0.029645,             0.63691,              0.4375,             0.24973,             0.12327,            0.068441,            0.022201,            0.025205,            0.023936,            0.006936,            0.006936
                  84,            0.065927,            0.026278,            0.028479,             0.63691,              0.4375,             0.24973,             0.12327,            0.068441,            0.022201,            0.025205,            0.023003,           0.0070029,           0.0070029
                  85,             0.06948,            0.040067,            0.030109,             0.63691,              0.4375,             0.24973,             0.12327,            0.068441,            0.022201,            0.025205,            0.022069,           0.0070694,           0.0070694
                  86,            0.064815,            0.025167,            0.026851,             0.63691,              0.4375,             0.24973,             0.12327,            0.068441,            0.022201,            0.025205,            0.021136,           0.0071356,           0.0071356
                  87,            0.066969,            0.033916,            0.028154,             0.71149,              0.3125,             0.36786,              0.1652,            0.070691,            0.022534,            0.024155,            0.020201,           0.0072013,           0.0072013
                  88,            0.071444,            0.024893,            0.029791,             0.71149,              0.3125,             0.36786,              0.1652,            0.070691,            0.022534,            0.024155,            0.019267,           0.0072667,           0.0072667
                  89,            0.070796,            0.034803,            0.030549,             0.71149,              0.3125,             0.36786,              0.1652,            0.070691,            0.022534,            0.024155,            0.018332,           0.0073316,           0.0073316
                  90,            0.069957,            0.030741,            0.028563,             0.71149,              0.3125,             0.36786,              0.1652,            0.070691,            0.022534,            0.024155,            0.017396,           0.0073962,           0.0073962
                  91,            0.069792,            0.029299,            0.028673,             0.94947,             0.21875,             0.41639,             0.19107,            0.067906,            0.022499,            0.022763,             0.01646,           0.0074604,           0.0074604
                  92,            0.064929,            0.034996,            0.025947,             0.94947,             0.21875,             0.41639,             0.19107,            0.067906,            0.022499,            0.022763,            0.015524,           0.0075241,           0.0075241
                  93,            0.067714,            0.026816,            0.025137,             0.94947,             0.21875,             0.41639,             0.19107,            0.067906,            0.022499,            0.022763,            0.014587,           0.0075875,           0.0075875
                  94,            0.067271,            0.027091,             0.02765,             0.94947,             0.21875,             0.41639,             0.19107,            0.067906,            0.022499,            0.022763,             0.01365,           0.0076505,           0.0076505
                  95,            0.069106,            0.028443,            0.026562,             0.65246,             0.45355,             0.35417,              0.2039,            0.072578,            0.021751,            0.021214,            0.012713,           0.0077131,           0.0077131
                  96,            0.069931,            0.033389,            0.026271,             0.65246,             0.45355,             0.35417,              0.2039,            0.072578,            0.021751,            0.021214,            0.011775,           0.0077752,           0.0077752
                  97,            0.070786,            0.033417,            0.025988,             0.65246,             0.45355,             0.35417,              0.2039,            0.072578,            0.021751,            0.021214,            0.010837,            0.007837,            0.007837
